uid,NumberOfFollowers,NumberOfFollowing,NumberOfTweets,Label
27887098,69,210,969,Legitimate User
28313453,378,239,7307,Legitimate User
28342883,1012,1449,4240,Legitimate User
28363979,16,42,74,Legitimate User
28845598,463,330,6866,Legitimate User
29500667,151,301,31546,Legitimate User
29510629,69,318,966,Legitimate User
29646177,2638,1743,28808,Legitimate User
30062603,88,205,386,Legitimate User
31102741,1169,1642,3763,Legitimate User
31162918,319,793,522,Legitimate User
32025215,445,489,30547,Legitimate User
32130104,362,318,6175,Legitimate User
32204918,262,1513,348,Legitimate User
33950570,232,431,484,Legitimate User
34355343,46,122,2190,Legitimate User
34897604,22,49,116,Legitimate User
35737313,26,73,482,Legitimate User
36190135,49,20,344,Legitimate User
36381609,258,191,1805,Legitimate User
36727238,85,460,748,Legitimate User
37539436,1161,194,34917,Legitimate User
37733715,173,390,3397,Legitimate User
37889070,587,295,5561,Legitimate User
37922072,257,473,3526,Legitimate User
38002859,413,70,371,Legitimate User
38223194,149,463,1361,Legitimate User
38730407,280,502,887,Legitimate User
38972677,125,549,3276,Legitimate User
39721490,48,112,971,Legitimate User
39748948,231,433,8173,Legitimate User
41780152,120,406,728,Legitimate User
41785738,46,115,350,Legitimate User
42676920,508,1153,9626,Legitimate User
42754744,414,1196,4736,Legitimate User
43069058,191,656,732,Legitimate User
43870029,46,96,516,Legitimate User
43964510,1707,1376,8635,Legitimate User
44042861,184,302,2935,Legitimate User
44335261,369,202,1030,Legitimate User
44451302,209,168,2035,Legitimate User
45100798,162,352,3152,Legitimate User
45307775,488,366,6131,Legitimate User
45529357,290,347,3902,Legitimate User
45778279,231,152,4357,Legitimate User
46137662,685,688,18810,Legitimate User
46334699,370,934,3302,Legitimate User
47612213,23,227,160,Legitimate User
48034707,272,336,6002,Legitimate User
48182327,105,427,1781,Legitimate User
48652450,75,138,1184,Legitimate User
48989220,501,697,13159,Legitimate User
49044510,50,1273,280,Legitimate User
49319803,245,241,5237,Legitimate User
49341424,87,173,611,Legitimate User
49934607,111,768,835,Legitimate User
49977491,44,136,1187,Legitimate User
50571065,74,345,2185,Legitimate User
50585331,249,548,148,Legitimate User
50589337,89,237,1073,Legitimate User
50598277,23,152,127,Legitimate User
50619779,147,405,1601,Legitimate User
50972738,129,380,704,Legitimate User
51005435,76,650,57,Legitimate User
51015996,80,290,552,Legitimate User
51037293,116,160,4862,Legitimate User
51150318,412,1974,1652,Legitimate User
51738765,63,185,1786,Legitimate User
51780170,45,99,238,Legitimate User
52157135,99,226,764,Legitimate User
53025684,641,1221,5745,Legitimate User
53027768,170,635,2703,Legitimate User
53621838,57,215,2683,Legitimate User
54556442,238,590,2064,Legitimate User
54691030,116,112,709,Legitimate User
54864334,160,227,2893,Legitimate User
54867711,83,70,1425,Legitimate User
54911584,333,1598,246,Legitimate User
55550359,139,454,519,Legitimate User
55590832,120,146,1876,Legitimate User
55819049,254,192,13774,Legitimate User
56326516,5027,5530,16195,Legitimate User
56345134,2812,1988,3885,Legitimate User
56466070,100,162,9147,Legitimate User
56662794,54,187,80,Legitimate User
56706947,65,281,684,Legitimate User
56966762,28,76,351,Legitimate User
57365720,98,75,6351,Legitimate User
57928664,179,723,9372,Legitimate User
59083826,117,552,537,Legitimate User
59402800,84,418,446,Legitimate User
60508255,258,770,5999,Legitimate User
61198155,148,104,11156,Legitimate User
61452320,53,53,139,Legitimate User
61513445,77,171,567,Legitimate User
61794519,14,18,77,Legitimate User
62017536,78,152,235,Legitimate User
62364690,1672,802,25575,Legitimate User
63517006,62,183,120,Legitimate User
63822625,88,111,1130,Legitimate User
64967572,473,299,79876,Legitimate User
66092090,46,105,613,Legitimate User
67002064,126,199,4288,Legitimate User
67006908,369,250,3896,Legitimate User
69654626,4,12,44,Legitimate User
69843045,150,536,2277,Legitimate User
69892452,444,620,326,Legitimate User
70735118,220,282,3730,Legitimate User
71295474,100,164,2060,Legitimate User
71336448,63,161,787,Legitimate User
71366031,77,227,640,Legitimate User
71495570,207,356,2475,Legitimate User
71522541,94,338,1334,Legitimate User
71582266,161,546,1349,Legitimate User
72149178,96,168,1533,Legitimate User
72314987,42,275,413,Legitimate User
72816504,64,262,2185,Legitimate User
72890647,563,774,8713,Legitimate User
72967193,95,139,650,Legitimate User
73627373,128,324,2617,Legitimate User
73799359,120,429,268,Legitimate User
74147053,179,2000,1110,Legitimate User
74156552,1772,1771,4707,Legitimate User
74486653,252,667,1447,Legitimate User
74544145,516,443,3020,Legitimate User
75270480,56,156,302,Legitimate User
75320990,102,392,1809,Legitimate User
75386921,21,63,271,Legitimate User
75522479,189,283,8890,Legitimate User
75777355,238,158,13300,Legitimate User
76286424,369,198,6212,Legitimate User
76982240,243,761,1570,Legitimate User
77165019,84,601,1111,Legitimate User
77243029,575,860,4812,Legitimate User
77528520,13890,12773,34098,Legitimate User
78116487,588,868,6273,Legitimate User
78719596,17,78,183,Legitimate User
80000814,214,314,8387,Legitimate User
81056258,281,405,1373,Legitimate User
81218261,20,95,33,Legitimate User
81239268,54,100,2636,Legitimate User
81352611,111,216,3199,Legitimate User
81592426,635,320,16037,Legitimate User
81680710,554,1853,5756,Legitimate User
81915249,469,1988,4712,Legitimate User
82068999,153,308,1497,Legitimate User
82324675,289,364,1959,Legitimate User
82837121,213,506,7838,Legitimate User
83087554,125,187,1476,Legitimate User
83236897,409,1159,5367,Legitimate User
83338869,263,414,1407,Legitimate User
83581269,122,427,873,Legitimate User
84114885,46,68,2396,Legitimate User
84214494,151,1172,1913,Legitimate User
84426046,23,60,96,Legitimate User
84561646,116,220,540,Legitimate User
84596057,2221,1636,21069,Legitimate User
85184915,517,34,6256,Legitimate User
85305729,126,126,4043,Legitimate User
85391583,245,153,6213,Legitimate User
85637186,111,282,4418,Legitimate User
85668015,34,77,478,Legitimate User
85866409,292,611,6631,Legitimate User
86036102,18,186,93,Legitimate User
86353404,44,63,802,Legitimate User
86525417,44,138,315,Legitimate User
86561552,75,217,831,Legitimate User
86612717,35,139,277,Legitimate User
86741673,244,294,4082,Legitimate User
86981924,21,368,334,Legitimate User
87654715,29,28,299,Legitimate User
88528666,40,53,319,Legitimate User
89237976,123,213,549,Legitimate User
89734891,22,125,618,Legitimate User
91303893,48,96,421,Legitimate User
92225723,233,40,1205,Legitimate User
92403540,408372,194,1667,Legitimate User
93259719,504,401,9057,Legitimate User
93648877,30,96,294,Legitimate User
94841494,42,81,294,Legitimate User
95008519,479,261,508,Legitimate User
95243555,612,257,4476,Legitimate User
95452901,131,193,1132,Legitimate User
96338067,74,182,364,Legitimate User
96586973,55,271,1181,Legitimate User
98481107,95,213,360,Legitimate User
98913291,19,253,28,Legitimate User
100459808,27,255,159,Legitimate User
100996879,68,178,649,Legitimate User
101503282,169,1021,2264,Legitimate User
102422355,15,76,67,Legitimate User
102760709,111,216,3833,Legitimate User
103055195,30,96,76,Legitimate User
103304208,34,68,495,Legitimate User
104235671,76,377,2349,Legitimate User
104566770,11089,565,10619,Legitimate User
104754590,227,521,820,Legitimate User
104770020,102,254,758,Legitimate User
104775098,144,543,1065,Legitimate User
104818930,65,186,380,Legitimate User
104897833,1271,619,9971,Legitimate User
105128951,53,56,117,Legitimate User
105429377,1612,1581,14467,Legitimate User
105496654,95,135,1869,Legitimate User
106456147,133,270,504,Legitimate User
107216254,190,620,360,Legitimate User
107421428,357,826,2620,Legitimate User
107990833,239,348,3461,Legitimate User
108148833,115,454,9966,Legitimate User
108557681,2698,261,2765,Legitimate User
109079114,1076,840,24057,Legitimate User
110273768,2818,3032,30909,Legitimate User
110439086,68,258,2685,Legitimate User
110942781,72,14,161,Legitimate User
111354131,95,174,2656,Legitimate User
111924058,3286,2743,16955,Legitimate User
112745297,777,1995,4067,Legitimate User
113487244,140,190,4190,Legitimate User
113746083,932,781,14246,Legitimate User
114467204,44,91,594,Legitimate User
114541436,81,182,360,Legitimate User
115340992,27,59,707,Legitimate User
115349856,125,452,444,Legitimate User
115955798,2107,1898,15131,Legitimate User
116190007,200,461,5936,Legitimate User
116538160,57,104,540,Legitimate User
117463248,201,500,889,Legitimate User
117708359,625,268,3980,Legitimate User
117755159,872,625,5558,Legitimate User
118024286,126,650,1656,Legitimate User
118339229,237,487,3139,Legitimate User
118898139,554,937,5660,Legitimate User
119065059,347,431,476,Legitimate User
123582130,10,41,63,Legitimate User
123912727,25,135,621,Legitimate User
124439362,53,487,160,Legitimate User
124578978,577,776,9410,Legitimate User
125088832,87,305,777,Legitimate User
126727689,286,538,10378,Legitimate User
126737626,49,218,622,Legitimate User
128587032,235,533,1550,Legitimate User
129214047,326,423,6634,Legitimate User
129586152,154,257,112,Legitimate User
130766020,86,80,1671,Legitimate User
131435310,547,1416,887,Legitimate User
132104173,582,437,36944,Legitimate User
132128902,43,203,200,Legitimate User
132182052,63,295,104,Legitimate User
132621562,22,29,101,Legitimate User
132888488,119,626,1358,Legitimate User
132983450,11,68,288,Legitimate User
133447001,1047,1516,883,Legitimate User
134526134,172,115,8662,Legitimate User
134803800,1403,1442,1352,Legitimate User
135111235,136,471,639,Legitimate User
135248338,36,166,441,Legitimate User
135441917,300,102,5369,Legitimate User
135525784,478,261,30010,Legitimate User
135894129,78,215,3366,Legitimate User
136622745,315,706,1529,Legitimate User
136692380,117,287,2212,Legitimate User
137390297,53,411,252,Legitimate User
138322603,106,232,272,Legitimate User
138438793,221,561,3088,Legitimate User
138529938,61,179,629,Legitimate User
138867555,162,369,3134,Legitimate User
140030010,3137,142,4145,Legitimate User
140191830,71,109,236,Legitimate User
140410819,101,286,520,Legitimate User
141669233,195,117,9824,Legitimate User
142238323,300,310,493,Legitimate User
142335653,438,938,6475,Legitimate User
143990497,13,48,137,Legitimate User
144207876,160,243,1257,Legitimate User
144305807,210,235,5671,Legitimate User
145748083,45,85,1149,Legitimate User
146093361,80,40,4323,Legitimate User
148536610,88,228,1063,Legitimate User
149278846,74,334,106,Legitimate User
150026364,252,627,1368,Legitimate User
150307637,42,149,770,Legitimate User
150983977,201,165,5755,Legitimate User
151590831,315,460,3907,Legitimate User
151602547,61,158,1465,Legitimate User
151832482,84,118,3653,Legitimate User
153094652,127,290,3569,Legitimate User
153324815,1053,448,8707,Legitimate User
154267358,54,219,1254,Legitimate User
154624409,43,64,257,Legitimate User
155845161,120,253,3204,Legitimate User
157290467,97,198,1875,Legitimate User
158859711,22,105,1287,Legitimate User
159923003,210,175,6793,Legitimate User
159931202,29,195,431,Legitimate User
160466484,4053,956,32223,Legitimate User
160883386,89,81,107,Legitimate User
161612145,274,251,8679,Legitimate User
161845690,281,259,5707,Legitimate User
163025432,423,400,485,Legitimate User
163354973,102,252,834,Legitimate User
163425928,33,135,666,Legitimate User
163932767,163,445,6812,Legitimate User
164074870,68,96,1462,Legitimate User
165042220,61,203,746,Legitimate User
165751518,329,588,28833,Legitimate User
166094049,46,98,1583,Legitimate User
168422352,133,209,572,Legitimate User
168761446,395,700,2917,Legitimate User
170352080,297,215,12381,Legitimate User
170384943,1218,554,5299,Legitimate User
170642321,66,58,2511,Legitimate User
170649757,19,139,9,Legitimate User
170745775,45,94,154,Legitimate User
171422343,32,93,861,Legitimate User
173006814,149,428,716,Legitimate User
173164569,1228,970,4428,Legitimate User
173662542,464,410,9115,Legitimate User
173788566,97,126,259,Legitimate User
174747861,1341,2002,18470,Legitimate User
174762418,275,549,2493,Legitimate User
176362396,92,469,1549,Legitimate User
178507135,3074,1686,47918,Legitimate User
181191549,117,184,280,Legitimate User
181477746,678,337,12834,Legitimate User
182342223,206,341,1172,Legitimate User
183148817,1330,1609,32448,Legitimate User
183149280,58,194,144,Legitimate User
183201799,418,1020,4392,Legitimate User
183559621,127,123,3450,Legitimate User
184102704,61,153,691,Legitimate User
184812764,411,560,6554,Legitimate User
185390609,156,91,1824,Legitimate User
187185454,128,178,3110,Legitimate User
187491410,174,383,922,Legitimate User
189179659,337,321,15703,Legitimate User
189263728,128,487,185,Legitimate User
190225727,20,92,117,Legitimate User
190569663,44,133,2630,Legitimate User
190591610,110,270,3800,Legitimate User
191391803,56,158,1535,Legitimate User
191781461,35,236,363,Legitimate User
193657123,111,209,3597,Legitimate User
193786482,87,361,471,Legitimate User
194232740,46,205,450,Legitimate User
194896850,1084,410,1359,Legitimate User
195322597,70,176,178,Legitimate User
195413637,80,206,604,Legitimate User
196514953,1578,332,5811,Legitimate User
196852073,104,268,733,Legitimate User
197027748,104,81,108,Legitimate User
197336556,20,80,274,Legitimate User
197347453,737,1968,11114,Legitimate User
198136015,158,209,568,Legitimate User
198196003,45,179,165,Legitimate User
198418075,222,338,4837,Legitimate User
198678682,254,170,5217,Legitimate User
199147059,9,37,30,Legitimate User
199597851,80,145,2894,Legitimate User
200293129,205,770,4140,Legitimate User
200482073,82,128,324,Legitimate User
201012406,219,383,5315,Legitimate User
202244649,193,879,593,Legitimate User
202555952,1377,693,18860,Legitimate User
203107523,193,117,1806,Legitimate User
204299339,45,289,1096,Legitimate User
204480603,286,1625,759,Legitimate User
206615715,1249,886,5311,Legitimate User
209128079,126,273,903,Legitimate User
209559462,14,38,360,Legitimate User
209733883,786,834,7227,Legitimate User
210459173,1084,899,19620,Legitimate User
210483287,102,219,595,Legitimate User
210514893,105,547,1215,Legitimate User
211487690,430,546,634,Legitimate User
211904475,1230,1428,2941,Legitimate User
212175167,336,787,3784,Legitimate User
212292079,12,66,185,Legitimate User
212724606,42,148,288,Legitimate User
212953427,58,256,440,Legitimate User
213061611,97,348,1799,Legitimate User
215216086,4878,5335,1200,Legitimate User
216361529,152,193,1336,Legitimate User
216790973,95,89,648,Legitimate User
217350735,77,178,225,Legitimate User
218071279,87,171,276,Legitimate User
218092490,37,660,892,Legitimate User
219346690,209,1163,4775,Legitimate User
219617010,111,528,446,Legitimate User
221173559,834,993,1580,Legitimate User
221690177,143,276,2541,Legitimate User
221742699,41,175,205,Legitimate User
223533298,75,290,982,Legitimate User
223840972,86,185,630,Legitimate User
225045616,99,163,512,Legitimate User
225323618,313,646,6566,Legitimate User
226197498,1119,1529,16432,Legitimate User
226964193,260,350,16490,Legitimate User
227817668,11,93,26,Legitimate User
228056042,161,195,9317,Legitimate User
228306355,68,267,891,Legitimate User
228708687,107,98,1325,Legitimate User
229298733,193,320,2186,Legitimate User
229758375,62,157,1924,Legitimate User
231058132,27,54,189,Legitimate User
231377654,378,662,3316,Legitimate User
232560751,2436,1978,10677,Legitimate User
233245609,79,360,1080,Legitimate User
233287464,129,340,1828,Legitimate User
234715592,29,105,798,Legitimate User
235303172,68,122,642,Legitimate User
237747438,101,229,2818,Legitimate User
238107344,105,230,1260,Legitimate User
240346934,132,892,4279,Legitimate User
242064566,166,417,49,Legitimate User
242123621,72,112,362,Legitimate User
242301103,396,962,3427,Legitimate User
242319331,24,137,52,Legitimate User
242341704,1057,1433,24423,Legitimate User
243891976,257,1462,1670,Legitimate User
244625605,80,346,1206,Legitimate User
245306807,150,137,2161,Legitimate User
245430145,148,488,518,Legitimate User
245953131,66,662,1379,Legitimate User
245970658,269,253,3332,Legitimate User
246208736,111,163,4235,Legitimate User
246886628,75,160,1075,Legitimate User
249122012,35,316,438,Legitimate User
249692862,14,50,103,Legitimate User
250171190,597,1994,2053,Legitimate User
250842076,48,123,639,Legitimate User
250851165,102,90,3863,Legitimate User
251313896,54,109,1573,Legitimate User
251500925,20,22,506,Legitimate User
252516822,118,275,1823,Legitimate User
252686122,39,74,1598,Legitimate User
253281330,68,143,768,Legitimate User
254558097,64,427,1350,Legitimate User
255656786,338,400,2386,Legitimate User
256598881,311,904,741,Legitimate User
256689270,47,73,217,Legitimate User
257399906,256,490,1550,Legitimate User
258762800,23,106,438,Legitimate User
259160079,94,361,2074,Legitimate User
259428725,65,235,1188,Legitimate User
259773527,136,222,2698,Legitimate User
259894552,70,255,1347,Legitimate User
259934562,141,599,1148,Legitimate User
260636096,156,516,3511,Legitimate User
260693820,172,370,3693,Legitimate User
261223538,658,701,9950,Legitimate User
262100774,516,801,15238,Legitimate User
262165317,19,53,195,Legitimate User
262199092,155,285,3053,Legitimate User
262235136,141,249,1086,Legitimate User
262328083,70,202,977,Legitimate User
262898875,289,201,2846,Legitimate User
263278290,66,236,948,Legitimate User
264333523,191,778,3134,Legitimate User
264801154,189,313,2171,Legitimate User
265419912,230,273,1583,Legitimate User
265529493,40,56,69,Legitimate User
268773741,88,281,2177,Legitimate User
269535022,778,1999,1848,Legitimate User
270472440,93,159,2230,Legitimate User
271032827,30,314,165,Legitimate User
272876921,937,1491,17681,Legitimate User
273686840,611,745,5845,Legitimate User
274536794,93,239,3144,Legitimate User
279139861,260,522,5544,Legitimate User
279147035,237,358,556,Legitimate User
279211405,757,263,660,Legitimate User
279461605,95,396,331,Legitimate User
279557700,158,413,4633,Legitimate User
279644158,1103,1999,13511,Legitimate User
282738890,33,523,4,Legitimate User
283521316,49,97,1420,Legitimate User
283906965,190,275,1277,Legitimate User
284481700,591,899,2692,Legitimate User
284657297,63,428,2882,Legitimate User
285724171,90,137,2500,Legitimate User
286790717,49,79,847,Legitimate User
286798567,866,1524,19978,Legitimate User
287557719,38,71,668,Legitimate User
288148846,122,342,2388,Legitimate User
288798453,47,315,146,Legitimate User
289859824,184,204,4542,Legitimate User
290723075,560,661,22679,Legitimate User
290734286,104,190,6151,Legitimate User
291290779,78,209,576,Legitimate User
291314239,8,78,129,Legitimate User
291403211,353,582,8784,Legitimate User
292565648,93,287,2291,Legitimate User
292577710,17,72,145,Legitimate User
292912980,207,414,1029,Legitimate User
293394867,751,1953,16722,Legitimate User
295168932,319,1027,1406,Legitimate User
295788103,852,1409,18528,Legitimate User
295961505,82,92,1166,Legitimate User
296876973,384,1172,3266,Legitimate User
296999433,34,88,507,Legitimate User
298018338,143,213,1019,Legitimate User
298459779,203,441,1401,Legitimate User
298489056,97,255,203,Legitimate User
299837277,533,51,3866,Legitimate User
299837762,284,362,669,Legitimate User
300796010,396,1158,1128,Legitimate User
300838107,43,101,986,Legitimate User
302114763,139,176,638,Legitimate User
305386550,26,55,124,Legitimate User
305553835,13,28,108,Legitimate User
305551682,181,237,6532,Legitimate User
307790129,77,344,899,Legitimate User
308151060,262,685,1878,Legitimate User
308672071,348,491,8639,Legitimate User
309800578,77,200,842,Legitimate User
310250028,112,137,1911,Legitimate User
310401703,21,79,20,Legitimate User
310496499,383,1828,6652,Legitimate User
311394394,57,276,1587,Legitimate User
311505461,71,259,24,Legitimate User
314030119,95,255,1766,Legitimate User
314922007,30,46,77,Legitimate User
315436528,426,653,3119,Legitimate User
318661130,207,868,2642,Legitimate User
319054277,62,346,1780,Legitimate User
319091474,42,139,293,Legitimate User
320880780,62,388,853,Legitimate User
321266890,262,323,1843,Legitimate User
321281383,159,227,2222,Legitimate User
321425967,1158,550,1171,Legitimate User
322587980,40,248,178,Legitimate User
323379897,131,356,2069,Legitimate User
323809354,83,211,373,Legitimate User
323937090,78,272,2368,Legitimate User
324440293,76,396,825,Legitimate User
325551297,12,41,173,Legitimate User
326054560,138,429,530,Legitimate User
327397233,76,213,608,Legitimate User
327510902,39,180,266,Legitimate User
329008715,29,114,58,Legitimate User
329103684,106,242,1133,Legitimate User
330202919,17,96,154,Legitimate User
330327779,60,289,1225,Legitimate User
331312863,328,1435,998,Legitimate User
331875962,88,613,1280,Legitimate User
332389973,332,351,2391,Legitimate User
332699729,49,84,301,Legitimate User
335208230,59,165,3098,Legitimate User
335832794,177,323,1167,Legitimate User
335837698,54,153,250,Legitimate User
336406661,148,232,1681,Legitimate User
337161930,225,290,3717,Legitimate User
338284756,31,121,199,Legitimate User
339058002,30,58,402,Legitimate User
340346783,333,678,2453,Legitimate User
340364061,51,317,6595,Legitimate User
340396112,263,1627,219,Legitimate User
340951450,55,100,991,Legitimate User
341339579,138,181,2549,Legitimate User
343307517,24,99,344,Legitimate User
343473585,55,90,657,Legitimate User
344525772,124,186,2464,Legitimate User
346829273,113,578,812,Legitimate User
347274232,176,494,1142,Legitimate User
348430064,21,80,399,Legitimate User
348981732,121,23,144,Legitimate User
349204176,1594,1994,2437,Legitimate User
349626625,1001,614,6991,Legitimate User
349929809,66,125,1045,Legitimate User
350160058,237,237,862,Legitimate User
350244854,80,279,1181,Legitimate User
350791585,27,192,106,Legitimate User
351555225,895,1012,17158,Legitimate User
353011489,54,125,2517,Legitimate User
353768504,591,723,11092,Legitimate User
354796858,24,118,92,Legitimate User
354818247,28,77,635,Legitimate User
355600495,111,21,2417,Legitimate User
357129429,120,155,1121,Legitimate User
358733502,25,112,47,Legitimate User
359926634,30,84,1421,Legitimate User
360547500,1082,1225,8021,Legitimate User
361097511,797,925,18427,Legitimate User
361746019,47,122,253,Legitimate User
361784332,184,632,2032,Legitimate User
362993719,102,203,231,Legitimate User
363251033,178,648,2177,Legitimate User
363830865,196,329,2487,Legitimate User
364111442,85,401,248,Legitimate User
364277230,71,110,262,Legitimate User
364323869,199,297,992,Legitimate User
364776732,99,341,460,Legitimate User
364805437,67,162,1049,Legitimate User
364851614,124,643,2130,Legitimate User
365372541,501,528,3701,Legitimate User
365383515,86,95,3061,Legitimate User
365440652,42,79,41,Legitimate User
365622635,175,327,1396,Legitimate User
365665311,70,209,1784,Legitimate User
366116632,378,380,2317,Legitimate User
367240411,120,269,764,Legitimate User
368540321,21,45,72,Legitimate User
368579486,26,51,155,Legitimate User
369537903,639,355,4001,Legitimate User
370193929,30,407,410,Legitimate User
370625229,344,548,1448,Legitimate User
370850929,99,366,807,Legitimate User
373579998,31,139,411,Legitimate User
373947833,822,170,528,Legitimate User
374062715,41,140,184,Legitimate User
374488191,239,775,1066,Legitimate User
375209946,35,104,975,Legitimate User
376425777,92,110,585,Legitimate User
376677633,115,243,587,Legitimate User
376705770,222,389,1034,Legitimate User
377304816,3,56,142,Legitimate User
377389027,562,626,5804,Legitimate User
377914761,172,535,960,Legitimate User
378009515,26,99,18,Legitimate User
379114417,174,307,1747,Legitimate User
379260334,56,161,107,Legitimate User
380015773,256,457,1579,Legitimate User
380172348,211,388,2775,Legitimate User
380319760,448,1108,5351,Legitimate User
381030516,1781,1275,19775,Legitimate User
381666513,282,525,2697,Legitimate User
381950248,50,304,1049,Legitimate User
381960133,44,168,882,Legitimate User
382178634,130,335,939,Legitimate User
382271109,76,171,211,Legitimate User
383292062,125,300,222,Legitimate User
383387954,188,227,1066,Legitimate User
383825758,96,233,295,Legitimate User
384753006,108,497,444,Legitimate User
384932218,77,436,600,Legitimate User
385868840,836,1996,1613,Legitimate User
386034126,1419,337,1962,Legitimate User
386779723,161,700,358,Legitimate User
387718926,172,337,5206,Legitimate User
387971079,96,308,745,Legitimate User
388348486,308,816,2226,Legitimate User
388842116,670,967,8685,Legitimate User
389400082,164,351,868,Legitimate User
389652102,43,190,752,Legitimate User
389715862,63,157,549,Legitimate User
390428793,130,75,4212,Legitimate User
390730174,4,29,7,Legitimate User
390759955,198,126,3806,Legitimate User
390972554,38,101,1292,Legitimate User
391362651,13,31,140,Legitimate User
391526633,56,242,497,Legitimate User
391572279,20,94,88,Legitimate User
391614396,6,54,7,Legitimate User
391924068,57,266,926,Legitimate User
392210280,55,256,1781,Legitimate User
392247237,25,131,133,Legitimate User
392676979,130,140,1112,Legitimate User
393628023,75,384,1945,Legitimate User
393980520,119,147,120,Legitimate User
394004577,200,229,3029,Legitimate User
394007331,23,212,956,Legitimate User
394217175,61,143,205,Legitimate User
394233142,320,384,4333,Legitimate User
394628127,105,357,629,Legitimate User
394726610,45,29,3551,Legitimate User
394814291,423,757,4557,Legitimate User
395014721,129,278,651,Legitimate User
396173375,7,87,1183,Legitimate User
396462550,53,236,648,Legitimate User
396515695,93,308,708,Legitimate User
396618509,79,286,263,Legitimate User
396625283,73,222,680,Legitimate User
396796142,17,242,250,Legitimate User
396898731,264,731,4245,Legitimate User
396900261,211,172,16601,Legitimate User
397236414,2,35,66,Legitimate User
397320325,213,623,3044,Legitimate User
397324373,144,302,1552,Legitimate User
397534181,106,168,506,Legitimate User
397629967,20,194,245,Legitimate User
398090733,14,141,246,Legitimate User
398442529,20,88,119,Legitimate User
399484359,67,232,21,Legitimate User
399572723,126,139,128,Legitimate User
400300086,298,302,1313,Legitimate User
400546232,33,134,335,Legitimate User
400748069,67,81,996,Legitimate User
401423776,118,204,744,Legitimate User
401502696,419,722,23682,Legitimate User
402866477,148,284,1575,Legitimate User
402955893,62,93,122,Legitimate User
402979897,32,126,134,Legitimate User
403461794,73,93,210,Legitimate User
403766373,96,114,4388,Legitimate User
404069171,183,495,1451,Legitimate User
404987270,92,220,1012,Legitimate User
405035087,138,158,3177,Legitimate User
405140479,75,86,143,Legitimate User
405418046,333,349,10272,Legitimate User
405574548,389,909,3506,Legitimate User
406165467,184,475,1087,Legitimate User
406162937,215,681,6357,Legitimate User
406907214,2352,469,6464,Legitimate User
406962616,80,259,2200,Legitimate User
407024811,62,127,479,Legitimate User
407101499,751,1474,4385,Legitimate User
407689676,187,172,1378,Legitimate User
407844335,66,241,319,Legitimate User
407964674,19,82,754,Legitimate User
408087080,145,159,259,Legitimate User
408348854,64,318,740,Legitimate User
408466988,46,86,360,Legitimate User
409118790,83,111,359,Legitimate User
410044683,583,997,3062,Legitimate User
410719897,45,89,751,Legitimate User
410941537,349,337,9802,Legitimate User
411386883,27,148,176,Legitimate User
411410885,131,85,612,Legitimate User
412112516,425,1320,5165,Legitimate User
412145728,129,325,276,Legitimate User
412240393,129,509,1127,Legitimate User
