uid,NumberOfFollowers,NumberOfFollowing,NumberOfTweets,Label,Screen Name,Name
31102741,1169,1642,3763,Legitimate User,pirata1010,Francesco capone
31162918,319,793,522,Legitimate User,danielecr,Daniele Cruciani
32025215,445,489,30547,Legitimate User,_SallyJade,Eleonora Boi
32130104,362,318,6175,Legitimate User,Al_Brambilla,Alberto Brambilla
32204918,262,1513,348,Legitimate User,mario_spn,Mario Spn
33950570,232,431,484,Legitimate User,cinnamon1962,Cinzia Nanni
34355343,46,122,2190,Legitimate User,LadyManuela,Manuela★★★
34897604,22,49,116,Legitimate User,naomaccia,Naomi Bressan
35737313,26,73,482,Legitimate User,muyuy,Paolo Zanotti
36190135,49,20,344,Legitimate User,JAYOGRAPHIC,Gru
36381609,258,191,1805,Legitimate User,Lorenzo_CW,Lorenzo Petracco
36727238,85,460,748,Legitimate User,andricor,Corrado Andriani
37539436,1161,194,34917,Legitimate User,Audrey985,Audrey Mi
37733715,173,390,3397,Legitimate User,lineadue,my name's Zaitself
37889070,587,295,5561,Legitimate User,RaulBiova,Samantha coll'H
37922072,257,473,3526,Legitimate User,GiMmiBragaglia,GiMmi Bragaglia 
38002859,413,70,371,Legitimate User,GaetanoPecoraro,Gaetano Pecoraro
38223194,149,463,1361,Legitimate User,armandofrancia,armando francia
38730407,280,502,887,Legitimate User,labandagastrica,La Banda Gastrica
38972677,125,549,3276,Legitimate User,PetitChevalier,Andrea Maisano
39721490,48,112,971,Legitimate User,LazarusCRY,Lazarus CRY
39748948,231,433,8173,Legitimate User,fabriziopaventi,Fabrizio Paventi
41780152,120,406,728,Legitimate User,goddobrando,Gianluca Selicato
41785738,46,115,350,Legitimate User,mgiordano29,maria giordano
42676920,508,1153,9626,Legitimate User,LoZioBeppe,Beppe POSH
42754744,414,1196,4736,Legitimate User,giuvannuzzo,giovanni mercadante
43069058,191,656,732,Legitimate User,poldo76,Leonardo Angelini
43870029,46,96,516,Legitimate User,annucciat,Anna Tesser
43964510,1707,1376,8635,Legitimate User,TianaKaiMiami,Tiana Kai
44042861,184,302,2935,Legitimate User,menvrillito,Erika Menvrillo
44335261,369,202,1030,Legitimate User,paologiovine,Paolo Giovine
44451302,209,168,2035,Legitimate User,Zambot_3,Sabrina Zambotti
45100798,162,352,3152,Legitimate User,Slargapel,となりのトトロ
45307775,488,366,6131,Legitimate User,tavor25,Tavor2.5
45529357,290,347,3902,Legitimate User,ugobonelli,Ugo Bonelli
45778279,231,152,4357,Legitimate User,188e76,umbertagnuttiberetta
46137662,685,688,18810,Legitimate User,sarubreakaway,30 seconds to asgard
46334699,370,934,3302,Legitimate User,cenzointermite,cenzo intermite
47612213,23,227,160,Legitimate User,sidepa,simo depa
48034707,272,336,6002,Legitimate User,deneb82,deneb
48182327,105,427,1781,Legitimate User,ofrakia,Francesco Cerra
48652450,75,138,1184,Legitimate User,Stade84,Samuele Staderini
48989220,501,697,13159,Legitimate User,soulista,Fabrizio.
49044510,50,1273,280,Legitimate User,gdivona,Giancarlo Di Vona
49319803,245,241,5237,Legitimate User,BorzattaP,Paolo Borzatta 博吾乐
49341424,87,173,611,Legitimate User,VincenzoRos,Vincenzo Rosiello
49934607,111,768,835,Legitimate User,skets76,Fabrizio Schettini
49977491,44,136,1187,Legitimate User,irenesim,Irene 
50571065,74,345,2185,Legitimate User,sel2by3,sel0
50585331,249,548,148,Legitimate User,BeatriceBiamino,Beatrice Biamino
50589337,89,237,1073,Legitimate User,costanzaallegra,costanza mondini
50598277,23,152,127,Legitimate User,alessio_meoli,Alessio Meoli
50619779,147,405,1601,Legitimate User,AndreasdeMar,Andrea Parisi
50972738,129,380,704,Legitimate User,a_betterway,Alessandro G.
51005435,76,650,57,Legitimate User,AndreaVespucci,Andrea Vespucci
51015996,80,290,552,Legitimate User,hesperides81,martina chianese
51037293,116,160,4862,Legitimate User,robsavastano,roberto savastano
51150318,412,1974,1652,Legitimate User,fpadovan,Fabio Padovan
51738765,63,185,1786,Legitimate User,Geom_Calboni,Calboni
51780170,45,99,238,Legitimate User,semprescalzo,Davide Luppi
52157135,99,226,764,Legitimate User,burtonian_girl,Fabrizia Malgieri
53025684,641,1221,5745,Legitimate User,Shoppidea,Tommaso B.
53027768,170,635,2703,Legitimate User,airvege,andrea vegetali
53621838,57,215,2683,Legitimate User,Iperzampem0,Matteo Zamperetti
54556442,238,590,2064,Legitimate User,simonenanni,Simone/Mac/Nanni™
54691030,116,112,709,Legitimate User,boccafricio,Boccafricio
54864334,160,227,2893,Legitimate User,eliabiraschi,Elia Biraschi
54867711,83,70,1425,Legitimate User,Giiuusa,Giiuu Sa
54911584,333,1598,246,Legitimate User,letiziannamaria,Mary Lou Moriarty
55550359,139,454,519,Legitimate User,robbisg,Robbis Guidotti
55590832,120,146,1876,Legitimate User,4thdoctor_scarf,Federico Campoli
55819049,254,192,13774,Legitimate User,ilbaku,Stefano Bakara
56326516,5027,5530,16195,Legitimate User,secolourbano,Giacomo Biraghi
56345134,2812,1988,3885,Legitimate User,guddaman,Gud
56466070,100,162,9147,Legitimate User,gabecnc,Gabriele
56662794,54,187,80,Legitimate User,6oneTzetzo,Francesco Casoli
56706947,65,281,684,Legitimate User,paoloalbano,paolo albano
56966762,28,76,351,Legitimate User,Alessiabel,Alessia Belgioioso
57365720,98,75,6351,Legitimate User,acimoto,
57928664,179,723,9372,Legitimate User,antopelle,l.a.l.saint-just 蛇 
59083826,117,552,537,Legitimate User,danielecotronei,Daniele Cotronei
59402800,84,418,446,Legitimate User,elenkekka,Elenkekka
60508255,258,770,5999,Legitimate User,CutCanvasDesign,140super/mic
61198155,148,104,11156,Legitimate User,PiaMarinaro,Pia Marinaro
61452320,53,53,139,Legitimate User,alessandromelit,Alessandro Melita
61513445,77,171,567,Legitimate User,Franciolo,Francio
61794519,14,18,77,Legitimate User,rospalazzo,Rosario Palazzo
62017536,78,152,235,Legitimate User,SuperMerilu,Marialucia Innocente
62364690,1672,802,25575,Legitimate User,poffare,Michelle Poffeiffer
63517006,62,183,120,Legitimate User,SandraVonFust,L'acida
63822625,88,111,1130,Legitimate User,Marycbridge,Maria
64967572,473,299,79876,Legitimate User,Ardat_Lili89,Elena Ψ
66092090,46,105,613,Legitimate User,SirPezz,Emanuele Pezzotti
67002064,126,199,4288,Legitimate User,castagnett,gino pino
67006908,369,250,3896,Legitimate User,Fabipavel,FabianPavel Fonovich
69654626,4,12,44,Legitimate User,chiffe83,Christofer
69843045,150,536,2277,Legitimate User,achillebro,Achille Broggi
69892452,444,620,326,Legitimate User,ElenaBusco,La Lena
70735118,220,282,3730,Legitimate User,JuanDaConde,Juan Dario Conde
71295474,100,164,2060,Legitimate User,francescoRELIVE,fraRELIVE
71336448,63,161,787,Legitimate User,New_AMZ,Francesco Gerbaldo
71366031,77,227,640,Legitimate User,evodelio,fedele pacini
71495570,207,356,2475,Legitimate User,marcocipriani,Marco Cipriani (Red)
71522541,94,338,1334,Legitimate User,FranceBuona6,Francesco Buonamici
71582266,161,546,1349,Legitimate User,padesig,Paolo Del Signore
72149178,96,168,1533,Legitimate User,marimarchesi,Marina Marchesi
72314987,42,275,413,Legitimate User,FerdinandoOliva,Oliva Ferdinando
72816504,64,262,2185,Legitimate User,kingsofa78,Angel V
72890647,563,774,8713,Legitimate User,FranciM87,Francesca Mastrovita
72967193,95,139,650,Legitimate User,Soy1987,Soyana Lanza
73627373,128,324,2617,Legitimate User,bolissimo,christian bolognesi
73799359,120,429,268,Legitimate User,CloeTorres92,Claudia Servalli
74147053,179,2000,1110,Legitimate User,Pietroross,Pietro Rossini
74156552,1772,1771,4707,Legitimate User,Testa71,testa71
74486653,252,667,1447,Legitimate User,BabiItalyMusic,Bernardo Cavalli
74544145,516,443,3020,Legitimate User,deidda,Salvatore Sasso
75270480,56,156,302,Legitimate User,matteobusanelli,Matteo Busanelli
75320990,102,392,1809,Legitimate User,Freschissimo,Frescherie
75386921,21,63,271,Legitimate User,CampagnaEric,Eric Campagna
75522479,189,283,8890,Legitimate User,SKshouse,Sorush Kavoosian
75777355,238,158,13300,Legitimate User,easypleaseme,gianluca
76286424,369,198,6212,Legitimate User,jole_bee,Namaste
76982240,243,761,1570,Legitimate User,Lebowskiana,Francesca De Chiara
77165019,84,601,1111,Legitimate User,mattec_,Matteo C.
77243029,575,860,4812,Legitimate User,baba_andrea,Andrea Marin
77528520,13890,12773,34098,Legitimate User,YanniKouts,Yannis Koutsomitis
78116487,588,868,6273,Legitimate User,siroindustry,Siro Descrovi
78719596,17,78,183,Legitimate User,Boborosko,Roberto Rusco
80000814,214,314,8387,Legitimate User,Emiko84,Emiliana
81056258,281,405,1373,Legitimate User,9lla_ae,9lla_ae
81218261,20,95,33,Legitimate User,salcam83,Salvo Cammisuli
81239268,54,100,2636,Legitimate User,SaraCaulfield,Sara Caulfield â„
81352611,111,216,3199,Legitimate User,Brainwashed91,Daniel Molinari
81592426,635,320,16037,Legitimate User,AlbertoCipolla,Alberto Cipolla
81680710,554,1853,5756,Legitimate User,lalladelve,La Delve
81915249,469,1988,4712,Legitimate User,Blizzard1001,Bianca Morandi
82068999,153,308,1497,Legitimate User,woodoow,anna wood
82324675,289,364,1959,Legitimate User,FedeSolo,Federico Puttilli
82837121,213,506,7838,Legitimate User,katun79,Tommaso
83087554,125,187,1476,Legitimate User,ziodimitri,Î”emetrio Ä¦igliorati
83236897,409,1159,5367,Legitimate User,Forever_Purple,RETE VIOLA  FAENZA
83338869,263,414,1407,Legitimate User,tripmario,Mario
83581269,122,427,873,Legitimate User,bemaffei,Benny Maffei
84114885,46,68,2396,Legitimate User,kricchia,Kricchia
84214494,151,1172,1913,Legitimate User,ale_fax7,E. Alessio Fasano
84426046,23,60,96,Legitimate User,kademart,beppe cademartiri
84561646,116,220,540,Legitimate User,GiovanniJonny,Giovanni Menegalli
84596057,2221,1636,21069,Legitimate User,always_paoletta,always_paoletta
85184915,517,34,6256,Legitimate User,gowillywonka,Willy Wonka
85305729,126,126,4043,Legitimate User,iMightBeWrong,âˆ†aft Jump 
85391583,245,153,6213,Legitimate User,sabato83,Sabato Siani
85637186,111,282,4418,Legitimate User,keeper1966,Giuseppe Ricciardi
85668015,34,77,478,Legitimate User,_Eli__,Elisa Pantano
85866409,292,611,6631,Legitimate User,iZia_,Zia Cate
86036102,18,186,93,Legitimate User,littleaviator27,Danilo Tria
86353404,44,63,802,Legitimate User,EliahBaley26,Gaetano Nasca
86525417,44,138,315,Legitimate User,Brinaci,sabrina
86561552,75,217,831,Legitimate User,Cathy_Coffee,Francine
86612717,35,139,277,Legitimate User,eccezion_ale,eccezion_ale
86741673,244,294,4082,Legitimate User,martibarakat,retteparallele
86981924,21,368,334,Legitimate User,veracinico,Ezio Veracini
87654715,29,28,299,Legitimate User,p1qu3,giampaolo galenda
88528666,40,53,319,Legitimate User,PieroMicheletti,Pierluigi Micheletti
89237976,123,213,549,Legitimate User,benny92_wliga,Benedetto Loris
89734891,22,125,618,Legitimate User,alfredodesideri,Алфредо Събота
91303893,48,96,421,Legitimate User,darkokerim,darko
92225723,233,40,1205,Legitimate User,lerzegov,Luca Erzegovesi
92403540,408372,194,1667,Legitimate User,lapinella,alessia marcuzzi
93259719,504,401,9057,Legitimate User,Frankieriili,Dott. Frankie Riili
93648877,30,96,294,Legitimate User,Silviatave,Silvia T
94841494,42,81,294,Legitimate User,MsBlackandWhite,Carlotta
95008519,479,261,508,Legitimate User,francobandelli,Franco Bandelli
95243555,612,257,4476,Legitimate User,bananediscarto,Alfonso M.
95452901,131,193,1132,Legitimate User,avvaliprandi,Alessandro Aliprandi
96338067,74,182,364,Legitimate User,smalto10,orlando smaltini
96586973,55,271,1181,Legitimate User,av_93,Andrea Vicidomini
98481107,95,213,360,Legitimate User,AtiPrince,Attilio Scalesse
98913291,19,253,28,Legitimate User,wisky75,William Wallace Sr
100459808,27,255,159,Legitimate User,Andrea3787,Andrea Facchi
100996879,68,178,649,Legitimate User,Fabio_42,Mr. Fabio
101503282,169,1021,2264,Legitimate User,leonardodest,Leonardo DeStefanis
102422355,15,76,67,Legitimate User,Luca_Milan_i,Luca Milani
102760709,111,216,3833,Legitimate User,S_Calandra,Calandra Salvatore
103055195,30,96,76,Legitimate User,GigNinni9,GigNinni
103304208,34,68,495,Legitimate User,ttfra,Francesca Giuliani
104235671,76,377,2349,Legitimate User,pasettodaniele,Daniele Pasetto
104566770,11089,565,10619,Legitimate User,Imbecilla,"Sono io, e allora?"
104754590,227,521,820,Legitimate User,JacopoSuppo,Jacopo Suppo
104770020,102,254,758,Legitimate User,pesce2802,Antonio Ballestrazzi
104775098,144,543,1065,Legitimate User,susannapp,Susanna Appendino
104818930,65,186,380,Legitimate User,sel_terreni,Selvaggia Terreni
104897833,1271,619,9971,Legitimate User,Dalloway_,La Dallouei
105128951,53,56,117,Legitimate User,DoctorSusy,Susy Longoni
105429377,1612,1581,14467,Legitimate User,Ettoreeeee,Ettore
105496654,95,135,1869,Legitimate User,CoachPego,Matteo Pego
106456147,133,270,504,Legitimate User,AlessioSak,Alessio S.
107216254,190,620,360,Legitimate User,Seph_thepools,Roland Seph Erulo
107421428,357,826,2620,Legitimate User,Emily1998x,EmilyLoves1D
107990833,239,348,3461,Legitimate User,GiorginaBi,Giorgina B
108148833,115,454,9966,Legitimate User,hanoi_xan,Roberto Peccolo
108557681,2698,261,2765,Legitimate User,ReutersLJucca,Lisa Jucca
109079114,1076,840,24057,Legitimate User,oldmadbear,orso Fritz
110273768,2818,3032,30909,Legitimate User,devnulI,♔ Ricardo Piana
110439086,68,258,2685,Legitimate User,MassimodeFavari,MassimodeFavari
110942781,72,14,161,Legitimate User,gianpi82,Gianpi Francaviglia
111354131,95,174,2656,Legitimate User,FrenkT,Francesco Tuveri
111924058,3286,2743,16955,Legitimate User,Acasy,Acas
112745297,777,1995,4067,Legitimate User,CarlaMangado,CarlaMangado
113487244,140,190,4190,Legitimate User,sarins79,Sarins
113746083,932,781,14246,Legitimate User,vittorianicolo,Vittoria Nicolò
114467204,44,91,594,Legitimate User,Dario031,Dario Coppola
114541436,81,182,360,Legitimate User,DanieleColossi,Daniele Colossi
115340992,27,59,707,Legitimate User,MichelaDada,Michela
115349856,125,452,444,Legitimate User,arigiulio,Arianna Giuliodori
115955798,2107,1898,15131,Legitimate User,foxyvol,foxyvol
116190007,200,461,5936,Legitimate User,MrSolargarden,Solargarden
116538160,57,104,540,Legitimate User,lulu_ouimoi,Lu
117463248,201,500,889,Legitimate User,saidvuok,Sandro Repetti
117708359,625,268,3980,Legitimate User,centobuste,il Postino
117755159,872,625,5558,Legitimate User,perplessa08,perplessa
118024286,126,650,1656,Legitimate User,jungleLella87,Donatella Caldarazzo
118339229,237,487,3139,Legitimate User,michele_maschio,Michele Maschio
118898139,554,937,5660,Legitimate User,UKIzero,ukizero.com
119065059,347,431,476,Legitimate User,fabiola_raffa,Fabiola Raffa
123582130,10,41,63,Legitimate User,Liuknet,liuk_on_the_stick
123912727,25,135,621,Legitimate User,lpasone,Luca Pastore
124439362,53,487,160,Legitimate User,dottor_rossi,Fabio Rossi
124578978,577,776,9410,Legitimate User,ilpat,Peter PaT 
125088832,87,305,777,Legitimate User,Lovecraft1983,Francesco Profumo
126727689,286,538,10378,Legitimate User,Biagiothai,Enrico Biagini
126737626,49,218,622,Legitimate User,marianna_marra,Marianna Marra
128587032,235,533,1550,Legitimate User,Boffetto,Francesco Mattioli
129214047,326,423,6634,Legitimate User,hstex,Ste from Purpleland
129586152,154,257,112,Legitimate User,lorenzodalberto,lorenzo
130766020,86,80,1671,Legitimate User,_Aladino_,Aladino
131435310,547,1416,887,Legitimate User,carmenfasolo,fasolo 
132104173,582,437,36944,Legitimate User,furiuschan,Furio Spinosi
132128902,43,203,200,Legitimate User,Sarodp,Rosario Di Paola
132182052,63,295,104,Legitimate User,giannidipippa,Gianni Di Pippa
132621562,22,29,101,Legitimate User,ARuffo84,Andrea Ruffo
132888488,119,626,1358,Legitimate User,emmarta,kona. 
132983450,11,68,288,Legitimate User,anpe2673,Annamaria Pezzulo
133447001,1047,1516,883,Legitimate User,meffeisalento,Mario Maffei
134526134,172,115,8662,Legitimate User,DaniWisteria,Daniela M.
134803800,1403,1442,1352,Legitimate User,f_angelucci,Francesco Angelucci
135111235,136,471,639,Legitimate User,edrigj,edriGJ
135248338,36,166,441,Legitimate User,simonbonzo85,Simonluca Teodoro
135441917,300,102,5369,Legitimate User,mariabeatrice77,Maria Beatrice
135525784,478,261,30010,Legitimate User,bbgood__,clear
135894129,78,215,3366,Legitimate User,TeooooSalo,Matteo 
136622745,315,706,1529,Legitimate User,SajuryS,Sabrina
136692380,117,287,2212,Legitimate User,danielelapalma,Daniele Bianchi
137390297,53,411,252,Legitimate User,martinazza,Martina Orlandi
138322603,106,232,272,Legitimate User,micheCamma,Micche
138438793,221,561,3088,Legitimate User,margherorasta,Margherita Serraglia
138529938,61,179,629,Legitimate User,03Manila,Manila Roberta Fiume
138867555,162,369,3134,Legitimate User,Massimo_Trovato,Massimo Trovato
140030010,3137,142,4145,Legitimate User,SherwoodPadova,Sherwood
140191830,71,109,236,Legitimate User,ValyJoey,*Joey*
140410819,101,286,520,Legitimate User,Miscugliobiondo,Miscugliobiondo
141669233,195,117,9824,Legitimate User,_inyourillusion,Mr.Vogr
142238323,300,310,493,Legitimate User,AndyMaccarrone,Andrea Maccarrone
142335653,438,938,6475,Legitimate User,ricWhat,ricWhat
143990497,13,48,137,Legitimate User,SeleneSmando,Selene 
144207876,160,243,1257,Legitimate User,laGattaSakura,Nicoletta Fersini
144305807,210,235,5671,Legitimate User,WaleZeta,ValerÑŽ Å½Ä“Ta
145748083,45,85,1149,Legitimate User,ceotto89,Andrea Ceotto
146093361,80,40,4323,Legitimate User,jeanlynStephen,Jean Lyn C.
148536610,88,228,1063,Legitimate User,maurizio_mwg,Maurizio Mucciola
149278846,74,334,106,Legitimate User,BeaCammertoni,Beatrice Cammertoni
150026364,252,627,1368,Legitimate User,GMattia90,Jim
150307637,42,149,770,Legitimate User,markritardo,MarcoRitardo
150983977,201,165,5755,Legitimate User,AlevandOfficial,Alessio Vandini
151590831,315,460,3907,Legitimate User,aboutdas,DAS
151602547,61,158,1465,Legitimate User,lakeplacid69,The Prince
151832482,84,118,3653,Legitimate User,Pacio81,Fabio
153094652,127,290,3569,Legitimate User,miglio100588,Alberto Migliorini
153324815,1053,448,8707,Legitimate User,Brahmino,Simone
154267358,54,219,1254,Legitimate User,giovanni1960,Lorem Ipsum
154624409,43,64,257,Legitimate User,FranciMila,Francesca Milano
155845161,120,253,3204,Legitimate User,CinziaSocini,Cinzia Socini
157290467,97,198,1875,Legitimate User,GiuliaRuggeri,Giulia
158859711,22,105,1287,Legitimate User,OliverHost,Oliver Host
159923003,210,175,6793,Legitimate User,simonedefalco,Simone De Falco
159931202,29,195,431,Legitimate User,keiko_freewilly,Fabiana
160466484,4053,956,32223,Legitimate User,TheGoodG,Marco
160883386,89,81,107,Legitimate User,leonardperini,Leonardo Perini
161612145,274,251,8679,Legitimate User,itsRRobs,All too well.
161845690,281,259,5707,Legitimate User,iosonounastrega,Made in Germany.
163025432,423,400,485,Legitimate User,GiovanniCorbo,Giovanni Corbo
163354973,102,252,834,Legitimate User,bennylove889,Bernice Boakye Dufie
163425928,33,135,666,Legitimate User,CristoforiFra,Francesco Cristofori
163932767,163,445,6812,Legitimate User,moniquecechic,monique campaner
164074870,68,96,1462,Legitimate User,Geniovese,Domenico Genovese
165042220,61,203,746,Legitimate User,iRockins,Riccardo Siffredi
165751518,329,588,28833,Legitimate User,toricozza,Tori_SoA
166094049,46,98,1583,Legitimate User,ilbasso87,Simone Bassini
168422352,133,209,572,Legitimate User,pippo95ful,PippoVardelli
168761446,395,700,2917,Legitimate User,lawfox65,lawfox
170352080,297,215,12381,Legitimate User,MyPluginBaby89,Undòmiel ♡
170384943,1218,554,5299,Legitimate User,WebCarrie,Carrie
170642321,66,58,2511,Legitimate User,rimasparsa,Sara
170649757,19,139,9,Legitimate User,rolandhidri,roland
170745775,45,94,154,Legitimate User,Pizzolo_Enrico,Enrico Pizzolo
171422343,32,93,861,Legitimate User,lorenzoc_annac,lorentinovero★★★
173006814,149,428,716,Legitimate User,michelesoana,Michele Soana
173164569,1228,970,4428,Legitimate User,xtuttiquelliche,Supertramp
173662542,464,410,9115,Legitimate User,Dirtyilpeggio,Dirty Machine
173788566,97,126,259,Legitimate User,Darunning,Ceccarelli Dario
174747861,1341,2002,18470,Legitimate User,GiovaFortuna,Giovanna Fortunato 
174762418,275,549,2493,Legitimate User,Saimons_PsychoK,Simo∞
176362396,92,469,1549,Legitimate User,MonsterYay_,Alessia •
178507135,3074,1686,47918,Legitimate User,PsychoChiara,Chiara
181191549,117,184,280,Legitimate User,el_dif,tsizzi il regolare
181477746,678,337,12834,Legitimate User,maxmannino,Massimiliano Mannino
182342223,206,341,1172,Legitimate User,GiacomoAsaro,Giacomo (Punto Cult)
183148817,1330,1609,32448,Legitimate User,dolcestellina75,Laura Sansone
183149280,58,194,144,Legitimate User,82reiko,Reiko
183201799,418,1020,4392,Legitimate User,marilee92,Zazie von Klausen
183559621,127,123,3450,Legitimate User,Neurocoso,Alex Della Vecchia
184102704,61,153,691,Legitimate User,matiasampietro,Matia Sampietro
184812764,411,560,6554,Legitimate User,PanteraRosaInc,Carmen Sigillo
185390609,156,91,1824,Legitimate User,lc368,Letizia Ceccarelli
187185454,128,178,3110,Legitimate User,ivan_iraci,Ivan Iraci
187491410,174,383,922,Legitimate User,AntiCosimo,Cosimo Cacciavillani
189179659,337,321,15703,Legitimate User,_xnaive,each other ♥
189263728,128,487,185,Legitimate User,SymposiaMente,Cassandra Di Giacomo
190225727,20,92,117,Legitimate User,lapoguidi,Lapo Guidi
190569663,44,133,2630,Legitimate User,pierogiusti,piero
190591610,110,270,3800,Legitimate User,RBeba,Rebecca 
191391803,56,158,1535,Legitimate User,quequacho,Leonardo Mecca
191781461,35,236,363,Legitimate User,_Ivy23,Ivana Serrapica
193657123,111,209,3597,Legitimate User,Ciro_Esposito,Ciro Esposito
193786482,87,361,471,Legitimate User,flaviorollo,Flavio Rollo
194232740,46,205,450,Legitimate User,VincyRuocco,Vincenzo Ruocco
194896850,1084,410,1359,Legitimate User,Mammaconitacchi,Mamma con i tacchi
195322597,70,176,178,Legitimate User,bussolottom,Michele Bussolotto
195413637,80,206,604,Legitimate User,galax79,Galaurchi Alessandro
196514953,1578,332,5811,Legitimate User,ElisaTaviti,My Fantabulous World
196852073,104,268,733,Legitimate User,gianluca_pietra,Gianluca Pietra
197027748,104,81,108,Legitimate User,martidegge,Martina De Gennaro
197336556,20,80,274,Legitimate User,unpuntodivista,unpuntodivista
197347453,737,1968,11114,Legitimate User,Marco_Leppini,Marco Leppini ツ 
198136015,158,209,568,Legitimate User,SovayKimberly,Sharon Janis ▲
198196003,45,179,165,Legitimate User,Angelo_Grigio,Roberto Minasi
198418075,222,338,4837,Legitimate User,bianchimatteo,Matteo Bianchi
