uid,NumberOfFollowers,NumberOfFollowing,NumberOfTweets,Label
1127286650,7,239,16,Content Polluter
1127292505,17,234,22,Content Polluter
1127295116,10,267,26,Content Polluter
1127297354,11,262,26,Content Polluter
1127302868,13,280,23,Content Polluter
1127303257,12,249,21,Content Polluter
1127305652,8,236,24,Content Polluter
1127314142,12,246,20,Content Polluter
1127315730,6,240,16,Content Polluter
1127321995,7,244,27,Content Polluter
1127324448,8,232,18,Content Polluter
1127332626,15,217,24,Content Polluter
1127347267,10,253,19,Content Polluter
1127356506,19,245,24,Content Polluter
1127371730,12,256,17,Content Polluter
1127373948,13,263,22,Content Polluter
1127389794,14,239,21,Content Polluter
1127391530,8,251,21,Content Polluter
1127400348,8,211,19,Content Polluter
1127411401,16,267,20,Content Polluter
1127412650,18,243,24,Content Polluter
1127420304,12,231,21,Content Polluter
1127433188,8,207,19,Content Polluter
1127455501,10,231,20,Content Polluter
1127457121,22,279,17,Content Polluter
1127465958,4,225,28,Content Polluter
1127478085,17,240,23,Content Polluter
1127478864,14,233,19,Content Polluter
1127484458,8,258,25,Content Polluter
1127492659,10,228,19,Content Polluter
1127500874,16,263,22,Content Polluter
1127510060,15,258,17,Content Polluter
1127515314,15,249,21,Content Polluter
1127536843,10,246,26,Content Polluter
1127547493,13,220,23,Content Polluter
1127575758,15,267,30,Content Polluter
1127578410,9,278,21,Content Polluter
1127581338,13,255,31,Content Polluter
1127582702,12,254,24,Content Polluter
1127585838,8,238,22,Content Polluter
1127587958,13,246,19,Content Polluter
1127590879,15,244,18,Content Polluter
1127622661,11,236,22,Content Polluter
1127632998,8,268,28,Content Polluter
1127645011,9,271,32,Content Polluter
1127646002,11,239,22,Content Polluter
1127680646,9,241,20,Content Polluter
1127687125,14,249,16,Content Polluter
1127688234,16,228,16,Content Polluter
1127708762,10,251,17,Content Polluter
1127733422,11,274,28,Content Polluter
1127751793,9,247,24,Content Polluter
1127757781,13,261,29,Content Polluter
1127769554,11,224,17,Content Polluter
1127771377,10,222,18,Content Polluter
1127772014,12,246,23,Content Polluter
1127772061,7,223,23,Content Polluter
1127789000,10,249,17,Content Polluter
1127809698,12,231,22,Content Polluter
1127816366,13,229,24,Content Polluter
1127822533,9,247,17,Content Polluter
1127827542,14,276,22,Content Polluter
1127828666,8,237,18,Content Polluter
1127833051,10,223,19,Content Polluter
1127833470,14,274,24,Content Polluter
1127838836,13,225,21,Content Polluter
1127839795,11,202,16,Content Polluter
1127841853,12,251,21,Content Polluter
1127844894,16,249,22,Content Polluter
1127846953,13,263,25,Content Polluter
1127847366,11,232,19,Content Polluter
1127849112,10,209,26,Content Polluter
1127880368,11,238,18,Content Polluter
1127891892,9,212,20,Content Polluter
1127892150,13,260,26,Content Polluter
1127894718,7,248,17,Content Polluter
1127910840,8,262,35,Content Polluter
1127911933,10,224,21,Content Polluter
1127914004,12,252,21,Content Polluter
1127928967,14,226,21,Content Polluter
1127942606,15,239,22,Content Polluter
1127946307,11,256,23,Content Polluter
1127948335,3,269,24,Content Polluter
1127956224,11,265,24,Content Polluter
1127963340,9,202,17,Content Polluter
1127990198,5,268,17,Content Polluter
1127992975,5,245,23,Content Polluter
1128007729,20,240,21,Content Polluter
1128012338,13,241,17,Content Polluter
1128062406,12,264,23,Content Polluter
1128096152,7,217,16,Content Polluter
1128100808,12,240,20,Content Polluter
1128144613,16,222,22,Content Polluter
1128183726,13,231,13,Content Polluter
1128187680,18,225,18,Content Polluter
1128223321,10,248,25,Content Polluter
1128246662,7,246,21,Content Polluter
1128246877,10,255,21,Content Polluter
1128250548,10,201,24,Content Polluter
1128251834,15,263,24,Content Polluter
1128254628,12,265,20,Content Polluter
1128259464,23,245,18,Content Polluter
1128263910,13,256,25,Content Polluter
1128269808,7,213,19,Content Polluter
1128284804,13,255,20,Content Polluter
1128300438,9,238,16,Content Polluter
1128302586,10,263,23,Content Polluter
1128304272,16,239,32,Content Polluter
1128315416,3,229,20,Content Polluter
1128338522,16,244,26,Content Polluter
1128339972,10,253,20,Content Polluter
1128353106,9,221,16,Content Polluter
1128355266,8,241,20,Content Polluter
1128356431,11,246,20,Content Polluter
1128358752,14,260,25,Content Polluter
1128360218,12,239,26,Content Polluter
1128361064,11,234,21,Content Polluter
1128363565,15,221,25,Content Polluter
1128379118,21,214,14,Content Polluter
1128394315,10,211,16,Content Polluter
1128398388,13,242,22,Content Polluter
1128398868,14,256,21,Content Polluter
1128403068,12,228,20,Content Polluter
1128408271,12,224,21,Content Polluter
1128419868,8,261,24,Content Polluter
1128426180,13,240,28,Content Polluter
1128442424,13,266,23,Content Polluter
1128458438,15,248,22,Content Polluter
1128470257,9,265,24,Content Polluter
1128478110,24,241,30,Content Polluter
1128486390,8,281,26,Content Polluter
1128487490,12,245,30,Content Polluter
1128493195,10,228,22,Content Polluter
1128511538,11,236,17,Content Polluter
1128517003,14,255,25,Content Polluter
1128518971,15,220,17,Content Polluter
1128530372,8,231,17,Content Polluter
1128530996,7,252,21,Content Polluter
1128546150,17,242,22,Content Polluter
1128581702,12,265,25,Content Polluter
1128584436,5,244,24,Content Polluter
1128588481,14,239,26,Content Polluter
1128629346,9,225,21,Content Polluter
1128635107,0,0,0,Content Polluter
1128650161,7,228,23,Content Polluter
1128666674,11,238,12,Content Polluter
1128680906,14,273,21,Content Polluter
1128697718,11,259,17,Content Polluter
1128706746,16,242,20,Content Polluter
1128718424,12,256,12,Content Polluter
1128728185,10,243,25,Content Polluter
1128764245,13,240,17,Content Polluter
1128816360,19,247,19,Content Polluter
1128822200,17,200,16,Content Polluter
1128835686,11,290,26,Content Polluter
1128838741,8,229,19,Content Polluter
1128888824,14,235,24,Content Polluter
1128898598,15,252,17,Content Polluter
1128909049,13,269,24,Content Polluter
1128950598,15,253,20,Content Polluter
1128958266,13,240,20,Content Polluter
1129012411,13,234,26,Content Polluter
1129016887,9,265,21,Content Polluter
1129016958,11,271,23,Content Polluter
1129032277,9,225,18,Content Polluter
1129034947,15,222,19,Content Polluter
1129036489,13,257,18,Content Polluter
1129040058,14,283,27,Content Polluter
1129076226,12,254,22,Content Polluter
1129089662,8,268,20,Content Polluter
1129160047,14,240,19,Content Polluter
1129208234,11,264,24,Content Polluter
1129288938,15,240,23,Content Polluter
1129290072,12,242,25,Content Polluter
1129308841,10,257,22,Content Polluter
1129326936,16,238,24,Content Polluter
1129401444,13,255,24,Content Polluter
1129477836,10,237,24,Content Polluter
1129533908,11,245,19,Content Polluter
1129546351,11,255,20,Content Polluter
1129592161,12,236,18,Content Polluter
1129664180,9,218,14,Content Polluter
1129684128,12,235,22,Content Polluter
1129729476,7,230,22,Content Polluter
1129803002,15,252,24,Content Polluter
1129813304,11,234,19,Content Polluter
1129844922,9,236,23,Content Polluter
1129871070,10,239,22,Content Polluter
1129874462,7,253,20,Content Polluter
1129878464,12,246,20,Content Polluter
1129881680,15,250,22,Content Polluter
1129884836,16,263,21,Content Polluter
1129894363,8,254,24,Content Polluter
1129895606,8,262,16,Content Polluter
1129901942,11,259,23,Content Polluter
1129905792,20,241,26,Content Polluter
1129909232,17,259,18,Content Polluter
1129910358,10,269,23,Content Polluter
1129914116,12,228,23,Content Polluter
1129918525,16,265,18,Content Polluter
1129919382,14,239,25,Content Polluter
1129919550,12,210,17,Content Polluter
1129919894,11,236,15,Content Polluter
1129919918,9,209,12,Content Polluter
1129923780,16,264,16,Content Polluter
1129936399,11,246,22,Content Polluter
1129937737,7,259,24,Content Polluter
1129940900,6,221,13,Content Polluter
1129948556,12,260,22,Content Polluter
1129950846,17,274,17,Content Polluter
1129967911,14,244,18,Content Polluter
1129972454,11,254,25,Content Polluter
1130000658,11,239,23,Content Polluter
1130054029,10,268,22,Content Polluter
1130064529,11,272,26,Content Polluter
1130087737,11,236,13,Content Polluter
1130107830,10,253,19,Content Polluter
1130110020,9,255,25,Content Polluter
1130123028,10,257,22,Content Polluter
1130156677,9,285,23,Content Polluter
1130157896,10,250,32,Content Polluter
1130157979,14,273,17,Content Polluter
1130158777,10,256,23,Content Polluter
1130167357,11,265,25,Content Polluter
1130207582,12,245,20,Content Polluter
1130213556,8,240,24,Content Polluter
1130216966,12,285,24,Content Polluter
1130225450,10,248,29,Content Polluter
1130227346,13,269,20,Content Polluter
1130234461,7,273,22,Content Polluter
1130238283,11,231,24,Content Polluter
1130249922,7,229,18,Content Polluter
1130259265,12,224,20,Content Polluter
1130261916,8,244,24,Content Polluter
1130266422,16,250,20,Content Polluter
1130268866,14,239,18,Content Polluter
1130270131,18,266,25,Content Polluter
1130271691,6,241,27,Content Polluter
1130283200,21,262,24,Content Polluter
1130284382,12,276,16,Content Polluter
1130288748,13,250,23,Content Polluter
1130295176,12,273,16,Content Polluter
1130295224,17,287,23,Content Polluter
1130298409,19,247,22,Content Polluter
1130305728,8,244,23,Content Polluter
1130310120,11,258,27,Content Polluter
1130312287,13,237,19,Content Polluter
1130321509,10,237,20,Content Polluter
1130335195,14,233,28,Content Polluter
1130376991,7,250,20,Content Polluter
1130379475,11,240,14,Content Polluter
1130384803,15,253,19,Content Polluter
1130386950,13,261,20,Content Polluter
1130396822,10,222,24,Content Polluter
1130403349,12,241,20,Content Polluter
1130403487,13,278,19,Content Polluter
1130409716,16,275,24,Content Polluter
1130415098,13,256,19,Content Polluter
1130419537,13,258,25,Content Polluter
1130458686,11,205,17,Content Polluter
1130485616,8,234,13,Content Polluter
1130518314,19,259,19,Content Polluter
1130522202,14,266,19,Content Polluter
1130534586,13,267,19,Content Polluter
1130534930,10,266,22,Content Polluter
1130535104,7,271,20,Content Polluter
1130538576,6,220,24,Content Polluter
1130539062,21,237,20,Content Polluter
1130543052,9,269,21,Content Polluter
1130546598,13,258,25,Content Polluter
1130549228,9,234,21,Content Polluter
1130557500,7,252,26,Content Polluter
1130570449,8,225,17,Content Polluter
1130581675,15,260,23,Content Polluter
1130623285,7,271,22,Content Polluter
1174317492,11,201,20,Content Polluter
1174318656,14,183,21,Content Polluter
1174321254,12,205,20,Content Polluter
1174322688,13,206,16,Content Polluter
1174330058,7,188,14,Content Polluter
1174330140,11,215,19,Content Polluter
1174330976,6,185,14,Content Polluter
1174331114,6,175,12,Content Polluter
1174331750,8,216,23,Content Polluter
1174332248,14,218,17,Content Polluter
1174332702,13,233,22,Content Polluter
1174333064,7,216,24,Content Polluter
1174334636,11,189,21,Content Polluter
1174335446,13,193,18,Content Polluter
1174336873,8,191,15,Content Polluter
1174337233,13,209,18,Content Polluter
1174338175,8,191,22,Content Polluter
1174341054,9,206,23,Content Polluter
1174341847,8,216,22,Content Polluter
1174342740,10,201,19,Content Polluter
1174345260,3,162,21,Content Polluter
1174346100,13,207,19,Content Polluter
1174349246,8,196,16,Content Polluter
1174352293,5,213,26,Content Polluter
1174352306,11,216,16,Content Polluter
1174354111,7,214,20,Content Polluter
1174357212,3,181,17,Content Polluter
1174357490,11,204,18,Content Polluter
1174357622,9,190,17,Content Polluter
1174357974,11,208,16,Content Polluter
1174359487,12,173,18,Content Polluter
1174360562,0,0,0,Content Polluter
1174361588,12,223,18,Content Polluter
1174366058,9,179,15,Content Polluter
1174366548,12,190,22,Content Polluter
1174367258,12,186,19,Content Polluter
1174367996,5,193,15,Content Polluter
1174372298,10,211,15,Content Polluter
1174373569,4,200,15,Content Polluter
1174374654,8,208,24,Content Polluter
1174379054,12,196,22,Content Polluter
1174379509,8,183,19,Content Polluter
1174382539,13,210,20,Content Polluter
1174383524,9,195,17,Content Polluter
1174387664,17,193,18,Content Polluter
1174394299,13,198,24,Content Polluter
1174395410,11,187,16,Content Polluter
1174396243,11,162,16,Content Polluter
1174396562,7,204,23,Content Polluter
1174397630,8,196,23,Content Polluter
1174398458,19,213,22,Content Polluter
1174399688,5,170,15,Content Polluter
1174400497,16,215,17,Content Polluter
1174402410,8,181,19,Content Polluter
1174402488,11,213,15,Content Polluter
1174403390,13,183,25,Content Polluter
1174403612,12,176,18,Content Polluter
1174407720,6,208,15,Content Polluter
1174409298,6,198,18,Content Polluter
1174410324,11,199,18,Content Polluter
1174410596,10,209,15,Content Polluter
1174411070,7,180,18,Content Polluter
1174412929,11,191,19,Content Polluter
1174413146,6,199,16,Content Polluter
1174413920,9,195,19,Content Polluter
1174414201,6,203,17,Content Polluter
1174414464,6,194,18,Content Polluter
1174417388,9,187,20,Content Polluter
1174417476,11,176,14,Content Polluter
1174418749,10,192,24,Content Polluter
1174420022,7,196,21,Content Polluter
1174420404,8,191,18,Content Polluter
1174420830,6,218,18,Content Polluter
1174425121,7,199,19,Content Polluter
1174425702,8,213,18,Content Polluter
1174427628,17,217,21,Content Polluter
1174429087,6,196,24,Content Polluter
1174429314,12,194,20,Content Polluter
1174430569,5,218,17,Content Polluter
1174431032,10,215,26,Content Polluter
1174431079,15,230,20,Content Polluter
1174433286,13,178,21,Content Polluter
1174433768,8,189,18,Content Polluter
1174434985,10,191,23,Content Polluter
1174435530,3,216,19,Content Polluter
1174435964,6,202,17,Content Polluter
1174436491,12,213,23,Content Polluter
1174437590,9,190,18,Content Polluter
1174437858,9,219,23,Content Polluter
1174438993,14,219,19,Content Polluter
1174441682,12,219,26,Content Polluter
1174443134,13,211,18,Content Polluter
1174444022,15,200,16,Content Polluter
1174444872,10,210,19,Content Polluter
1174445989,6,206,21,Content Polluter
1174448394,5,223,19,Content Polluter
1174450668,14,231,22,Content Polluter
1174450896,10,217,21,Content Polluter
1174450927,9,216,15,Content Polluter
1174453920,13,212,12,Content Polluter
1174457058,11,193,22,Content Polluter
1174464710,7,209,25,Content Polluter
1174471358,10,211,14,Content Polluter
1174472161,14,206,23,Content Polluter
1174472216,6,184,19,Content Polluter
1174497528,6,215,18,Content Polluter
1174509800,8,190,17,Content Polluter
1174510238,11,225,20,Content Polluter
1174514420,8,195,17,Content Polluter
1174515163,10,203,16,Content Polluter
1174515206,6,224,14,Content Polluter
1174518524,7,164,19,Content Polluter
1174529258,12,213,23,Content Polluter
1174530324,4,191,17,Content Polluter
1174534844,14,199,21,Content Polluter
1174536254,8,215,11,Content Polluter
1174538528,6,205,20,Content Polluter
1174539534,8,195,20,Content Polluter
1174540080,10,206,22,Content Polluter
1174541538,14,201,17,Content Polluter
1174543622,5,208,18,Content Polluter
1174545259,5,206,17,Content Polluter
1174546525,9,199,21,Content Polluter
1174549280,10,176,15,Content Polluter
1174550834,6,174,14,Content Polluter
1174550876,13,214,15,Content Polluter
1174552537,9,183,20,Content Polluter
1174553017,10,201,17,Content Polluter
1174554060,5,212,16,Content Polluter
1174560156,6,232,22,Content Polluter
1174560212,9,213,20,Content Polluter
1174562730,12,212,15,Content Polluter
1174564464,15,194,17,Content Polluter
1174566572,7,203,23,Content Polluter
1174575835,16,224,24,Content Polluter
1174577719,11,190,14,Content Polluter
1174577899,11,174,21,Content Polluter
1174580582,14,239,19,Content Polluter
1174581626,5,241,23,Content Polluter
1174585309,10,207,17,Content Polluter
1174585699,9,178,19,Content Polluter
1174600752,8,224,25,Content Polluter
1174601928,9,193,20,Content Polluter
1174602234,9,208,18,Content Polluter
1174602264,13,206,18,Content Polluter
1174603392,15,219,22,Content Polluter
1174616234,10,191,11,Content Polluter
1174616899,9,233,19,Content Polluter
1174619377,9,211,23,Content Polluter
1174619839,7,216,17,Content Polluter
1174620793,7,192,11,Content Polluter
1174621862,11,231,23,Content Polluter
1174622065,8,202,21,Content Polluter
1174622690,14,185,15,Content Polluter
1174622822,8,168,13,Content Polluter
1174627123,11,192,19,Content Polluter
1174628442,11,209,18,Content Polluter
1174631851,7,198,23,Content Polluter
1174632889,14,179,13,Content Polluter
1174638079,7,212,20,Content Polluter
1174638181,8,224,18,Content Polluter
1174641072,8,210,16,Content Polluter
1174641955,7,197,18,Content Polluter
1174642170,7,195,19,Content Polluter
1174643364,4,215,25,Content Polluter
1174643767,3,210,20,Content Polluter
1174644632,6,190,28,Content Polluter
1174644924,9,177,18,Content Polluter
1174648291,8,200,14,Content Polluter
1174648296,12,194,20,Content Polluter
1174649256,11,221,13,Content Polluter
1174649970,15,225,16,Content Polluter
1174651890,8,185,22,Content Polluter
1174652005,11,198,13,Content Polluter
1174656450,10,223,26,Content Polluter
1174657488,7,210,19,Content Polluter
1174660242,13,223,23,Content Polluter
1174662523,8,209,20,Content Polluter
1174665463,14,196,21,Content Polluter
1174670046,6,181,20,Content Polluter
1174672777,9,201,19,Content Polluter
1174676743,16,221,24,Content Polluter
1174679113,5,231,22,Content Polluter
1174679323,6,218,18,Content Polluter
1174679592,9,205,24,Content Polluter
1174679700,10,196,20,Content Polluter
1174680708,14,196,18,Content Polluter
1174682425,5,202,23,Content Polluter
1174684076,17,177,15,Content Polluter
1174684957,15,242,21,Content Polluter
1174688455,9,186,14,Content Polluter
1174688940,5,206,20,Content Polluter
1174694204,9,211,20,Content Polluter
1174695224,8,190,19,Content Polluter
1174696087,8,206,18,Content Polluter
1174699399,10,203,21,Content Polluter
1174700300,7,205,16,Content Polluter
1174703832,3,192,19,Content Polluter
1174706054,6,186,15,Content Polluter
1174706798,8,211,26,Content Polluter
1174707146,9,219,29,Content Polluter
1174709269,6,196,18,Content Polluter
1174710902,9,228,21,Content Polluter
1174711836,6,209,21,Content Polluter
1174712372,9,213,15,Content Polluter
1174713944,10,211,22,Content Polluter
1174717800,7,224,21,Content Polluter
1174719445,10,210,20,Content Polluter
1174723886,5,209,16,Content Polluter
1174724869,6,202,16,Content Polluter
1174725366,8,203,19,Content Polluter
1174725740,12,163,15,Content Polluter
1174727760,7,208,21,Content Polluter
1174728433,12,205,16,Content Polluter
1174728950,9,240,16,Content Polluter
1174733100,6,216,19,Content Polluter
1174734559,15,201,12,Content Polluter
1174735315,14,185,16,Content Polluter
1174738568,24,214,28,Content Polluter
1174739257,11,202,15,Content Polluter
1174739436,10,203,18,Content Polluter
1174739780,8,190,15,Content Polluter
1174739790,8,203,17,Content Polluter
1174740535,6,178,21,Content Polluter
1174742864,17,172,14,Content Polluter
1174743122,13,208,22,Content Polluter
1174743524,8,212,12,Content Polluter
1174744404,8,213,22,Content Polluter
1174750884,8,196,21,Content Polluter
1174751144,15,216,18,Content Polluter
1174753764,12,186,16,Content Polluter
1174754300,10,209,13,Content Polluter
1174756808,7,192,19,Content Polluter
1174757941,8,209,16,Content Polluter
1174759088,10,236,19,Content Polluter
1174760396,10,189,24,Content Polluter
1174762351,4,192,25,Content Polluter
1174763443,13,249,25,Content Polluter
1174767468,11,204,22,Content Polluter
1174768531,4,186,20,Content Polluter
1174771410,9,205,20,Content Polluter
1174771632,11,196,23,Content Polluter
1174773318,8,198,16,Content Polluter
1174773870,12,226,26,Content Polluter
1174775082,11,218,23,Content Polluter
1174777898,12,192,18,Content Polluter
1174778406,17,205,19,Content Polluter
1174778426,12,216,22,Content Polluter
1174780532,12,196,16,Content Polluter
1174780674,8,172,19,Content Polluter
1174780777,12,217,22,Content Polluter
1174781010,8,200,22,Content Polluter
1174781425,11,200,24,Content Polluter
1174785036,8,205,19,Content Polluter
1174787304,12,239,19,Content Polluter
1174789676,11,205,14,Content Polluter
1174790898,8,174,21,Content Polluter
1174792195,11,185,19,Content Polluter
1174793102,14,218,18,Content Polluter
1174797008,15,205,17,Content Polluter
1174800103,8,219,15,Content Polluter
1174804556,13,206,24,Content Polluter
1174810141,15,198,19,Content Polluter
1174811528,8,200,18,Content Polluter
1174812978,13,182,21,Content Polluter
1174816452,8,194,14,Content Polluter
1174818390,9,225,23,Content Polluter
1174818847,15,220,24,Content Polluter
1174819256,14,185,20,Content Polluter
1174823942,7,227,21,Content Polluter
1174824824,13,186,14,Content Polluter
1174826773,9,208,21,Content Polluter
1174831039,7,196,16,Content Polluter
1174832804,7,214,24,Content Polluter
1174832875,12,204,18,Content Polluter
1174842428,9,205,16,Content Polluter
1174845720,13,223,28,Content Polluter
1174847785,8,218,21,Content Polluter
1174848200,6,229,19,Content Polluter
1174850017,8,218,18,Content Polluter
1174850107,6,205,21,Content Polluter
1174851198,8,217,15,Content Polluter
1174851200,9,215,19,Content Polluter
1174851499,8,219,23,Content Polluter
1174851782,7,226,17,Content Polluter
1174853904,7,208,19,Content Polluter
1174854703,8,209,14,Content Polluter
1174855417,10,220,18,Content Polluter
1174860890,8,226,22,Content Polluter
1174865594,6,189,21,Content Polluter
1174869769,12,192,21,Content Polluter
1174872318,9,194,15,Content Polluter
1174872906,7,213,22,Content Polluter
1174873122,8,216,15,Content Polluter
1174874869,8,214,22,Content Polluter
1174876764,17,207,20,Content Polluter
1174879028,13,187,21,Content Polluter
1174885004,9,220,16,Content Polluter
1174885962,15,210,21,Content Polluter
1174887464,4,212,18,Content Polluter
1174889395,11,209,20,Content Polluter
1174889473,5,197,21,Content Polluter
1174898036,13,219,24,Content Polluter
1174898930,13,202,22,Content Polluter
1174900471,7,188,20,Content Polluter
1174901988,7,171,17,Content Polluter
1174902313,7,188,13,Content Polluter
1174905187,9,203,18,Content Polluter
1174905692,12,204,15,Content Polluter
1174906022,9,217,18,Content Polluter
1174908596,6,202,21,Content Polluter
1174909136,6,211,19,Content Polluter
1174909753,9,231,19,Content Polluter
1174911457,17,221,18,Content Polluter
1174912687,12,204,17,Content Polluter
1174913503,6,197,15,Content Polluter
1174914138,8,219,14,Content Polluter
1174915280,13,210,14,Content Polluter
1174917374,10,212,19,Content Polluter
1174918586,10,233,23,Content Polluter
1174918676,8,205,21,Content Polluter
1174924308,8,231,17,Content Polluter
1174925106,8,236,23,Content Polluter
1174926474,10,213,23,Content Polluter
1174927723,4,181,21,Content Polluter
1174929679,10,217,22,Content Polluter
1174931708,16,198,23,Content Polluter
1174933712,10,205,12,Content Polluter
1174942093,7,199,15,Content Polluter
1174944276,7,191,19,Content Polluter
1174944620,11,205,22,Content Polluter
1174944751,4,205,15,Content Polluter
1174946815,14,206,28,Content Polluter
1174948008,12,209,18,Content Polluter
1174950420,8,208,15,Content Polluter
1174959522,13,216,20,Content Polluter
1174959793,2,204,18,Content Polluter
1174962156,10,188,16,Content Polluter
1174962506,10,168,15,Content Polluter
1174966651,5,186,15,Content Polluter
1174970576,9,205,15,Content Polluter
1174971644,10,188,9,Content Polluter
1174973954,13,186,20,Content Polluter
1174977254,10,179,13,Content Polluter
1174977500,12,197,17,Content Polluter
1174980182,10,217,11,Content Polluter
1174981094,9,235,19,Content Polluter
1174982719,9,215,23,Content Polluter
1174982916,9,193,17,Content Polluter
1174983931,6,206,19,Content Polluter
1174986182,7,220,21,Content Polluter
1174991155,10,201,18,Content Polluter
1174993226,15,229,16,Content Polluter
1174994395,15,209,20,Content Polluter
1174994587,3,215,23,Content Polluter
1174998572,7,196,23,Content Polluter
1174998998,11,211,19,Content Polluter
1175000504,8,220,27,Content Polluter
1175002777,6,216,23,Content Polluter
1175003000,9,196,14,Content Polluter
1175005345,12,225,19,Content Polluter
1175006178,10,205,18,Content Polluter
1175009000,5,171,15,Content Polluter
1175011722,10,177,15,Content Polluter
1175011819,12,192,19,Content Polluter
1175012948,8,198,23,Content Polluter
1175015820,8,235,19,Content Polluter
1175016295,10,197,13,Content Polluter
1175021809,9,195,18,Content Polluter
1175021929,13,195,23,Content Polluter
1175025552,3,218,18,Content Polluter
1175025703,7,213,21,Content Polluter
1175028782,12,211,17,Content Polluter
1175029616,12,233,18,Content Polluter
1175029759,8,212,13,Content Polluter
1175030514,8,186,22,Content Polluter
1175031572,9,205,20,Content Polluter
1175034534,9,201,20,Content Polluter
1175035327,8,194,22,Content Polluter
1175036250,9,210,15,Content Polluter
1175038892,7,219,18,Content Polluter
1175039382,11,201,25,Content Polluter
1175044778,9,168,16,Content Polluter
1175053682,7,200,18,Content Polluter
1175055697,12,215,22,Content Polluter
1175057606,0,234,20,Content Polluter
1175061374,4,203,19,Content Polluter
1175062507,8,218,22,Content Polluter
1175062736,8,212,21,Content Polluter
1175064218,10,212,25,Content Polluter
1175586606,5,203,20,Content Polluter
